serial_num,model_id,runtime_name,task_type,input_resolution,model_path,metric_name,metric_8bits,metric_reference,num_subgraphs,infer_time_core_ms,ddr_transfer_mb,run_dir,artifact_name
1,3dod-7100,onnxrt,detection_3d,None,lidar_point_pillars_10k_496x432_qat-p2.onnx,None,None,76.5,1,33084.30464,0.0,3dod-7100_onnxrt_kitti_mmdet3d_lidar_point_pillars_10k_496x432_qat-p2_onnx,ONR-3DOD-7100-pointPillars-lidar-10000-496x432
2,cl-0000,tflitert,classification,224,mobilenet_v1_1.0_224.tflite,accuracy_top1%,67.91,71.676,1,217.759148,18446744073709.55,cl-0000_tflitert_imagenet1k_mlperf_mobilenet_v1_1.0_224_tflite,TFL-CL-0000-mobileNetV1-mlperf
3,cl-0010,tflitert,classification,224,mobilenet_v2_1.0_224.tflite,accuracy_top1%,65.64,71.9,1,200.39301,18446744073709.55,cl-0010_tflitert_imagenet1k_tf1-models_mobilenet_v2_1.0_224_tflite,TFL-CL-0010-mobileNetV2
4,cl-0130,tflitert,classification,224,efficientnet-lite0-fp32.tflite,accuracy_top1%,69.46,75.1,1,234.785467,18446744073709.55,cl-0130_tflitert_imagenet1k_tf-tpu_efficientnet-lite0-fp32_tflite,TFL-CL-0130-efficientNet-lite0
5,cl-0160,tflitert,classification,224,resnet50_v1.5.tflite,accuracy_top1%,75.58,76.456,1,3030.493992,18446744073709.55,cl-0160_tflitert_imagenet1k_mlperf_resnet50_v1.5_tflite,TFL-CL-0160-resNet50V1p5-mlperf
6,cl-3090,tvmdlr,classification,224,mobilenet_v2_tv.onnx,accuracy_top1%,70.27,71.88,1,343.22991,0.0,cl-3090_tvmdlr_imagenet1k_torchvision_mobilenet_v2_tv_onnx,TVM-CL-3090-mobileNetV2-tv
7,cl-6090,onnxrt,classification,224,mobilenet_v2_tv.onnx,accuracy_top1%,70.27,71.88,1,198.921069,0.0,cl-6090_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_onnx,ONR-CL-6090-mobileNetV2-tv
8,cl-6091,onnxrt,classification,512,mobilenet_v2_tv_512x512.onnx,accuracy_top1%,57.0,None,1,1036.738576,0.0,cl-6091_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_512x512_onnx,ONR-CL-6091-mobileNetV2-tv-512x512
9,cl-6100,onnxrt,classification,224,resnet18.onnx,accuracy_top1%,69.45,69.76,1,1576.239138,0.0,cl-6100_onnxrt_imagenet1k_torchvision_resnet18_onnx,ONR-CL-6100-resNet18
10,cl-6101,onnxrt,classification,512,resnet18_512x512.onnx,accuracy_top1%,70.0,None,1,9036.816638,0.0,cl-6101_onnxrt_imagenet1k_torchvision_resnet18_512x512_onnx,ONR-CL-6101-resNet18-512x512
11,cl-6102,onnxrt,classification,1024,resnet18_1024x1024.onnx,accuracy_top1%,0.0,None,1,29988.552211,0.0,cl-6102_onnxrt_imagenet1k_torchvision_resnet18_1024x1024_onnx,ONR-CL-6102-resNet18-1024x1024
12,cl-6110,onnxrt,classification,224,resnet50.onnx,accuracy_top1%,75.45,76.15,1,6099.551639,0.0,cl-6110_onnxrt_imagenet1k_torchvision_resnet50_onnx,ONR-CL-6110-resNet50
13,cl-6160,onnxrt,classification,224,regnet_x_400mf_tv.onnx,accuracy_top1%,72.26,72.834,1,330.449044,0.0,cl-6160_onnxrt_imagenet1k_torchvision_regnet_x_400mf_tv_onnx,ONR-CL-6160-regNetX-400mf-tv
14,cl-6170,onnxrt,classification,224,regnet_x_800mf_tv.onnx,accuracy_top1%,74.97,75.212,1,604.046977,0.0,cl-6170_onnxrt_imagenet1k_torchvision_regnet_x_800mf_tv_onnx,ONR-CL-6170-regNetX-800mf-tv
15,cl-6360,onnxrt,classification,224,regnetx-200mf.onnx,accuracy_top1%,67.58,68.9,1,843.933479,0.0,cl-6360_onnxrt_imagenet1k_fbr-pycls_regnetx-200mf_onnx,ONR-CL-6360-regNetx-200mf
16,cl-6480,onnxrt,classification,224,mobilenet_v3_lite_small_20210429.onnx,accuracy_top1%,60.62,62.688,1,268.656038,0.0,cl-6480_onnxrt_imagenet1k_edgeai-tv_mobilenet_v3_lite_small_20210429_onnx,ONR-CL-6480-mobv3-lite-small
17,cl-6490,onnxrt,classification,224,mobilenet_v3_lite_large_20210507.onnx,accuracy_top1%,71.18,72.122,1,941.250941,0.0,cl-6490_onnxrt_imagenet1k_edgeai-tv_mobilenet_v3_lite_large_20210507_onnx,ONR-CL-6490-mobv3-lite-large
18,kd-7060,onnxrt,human_pose_estimation,640,yolox_s_pose_ti_lite_49p5_78p0.onnx,accuracy_ap[.5:.95]%,49.612925,49.5,1,40426.856233,0.0,kd-7060_onnxrt_coco_edgeai-yolox_yolox_s_pose_ti_lite_49p5_78p0_onnx,ONR-KD-7060-human-pose-yolox-s-640x640
19,od-2000,tflitert,detection,300x300,ssd_mobilenet_v1_coco_20180128.tflite,accuracy_ap[.5:.95]%,15.924639,23.0,1,560.471866,18446744073709.55,od-2000_tflitert_coco_mlperf_ssd_mobilenet_v1_coco_20180128_tflite,TFL-OD-2000-ssd-mobV1-coco-mlperf-300x300
20,od-2010,tflitert,detection,300x300,ssd_mobilenet_v2_300_float.tflite,accuracy_ap[.5:.95]%,15.782375,22.0,1,522.142905,18446744073709.55,od-2010_tflitert_coco_mlperf_ssd_mobilenet_v2_300_float_tflite,TFL-OD-2010-ssd-mobV2-coco-mlperf-300x300
21,od-2080,tflitert,detection,320x320,ssd_mobilenet_v2_fpnlite_320x320_coco17_tpu-8.tflite,accuracy_ap[.5:.95]%,16.907623,22.2,1,526.422928,18446744073709.55,od-2080_tflitert_coco_tf2-models_ssd_mobilenet_v2_fpnlite_320x320_coco17_tpu-8_tflite,TFL-OD-2080-ssd-mobV2-fpnlite-coco-tpu-8-320x320
22,od-5120,tvmdlr,detection,320x320,ssdlite_mobiledet_dsp_320x320_coco_20200519.tflite,accuracy_ap[.5:.95]%,34.204615,28.9,1,3558.049637,0.0,od-5120_tvmdlr_coco_tf1-models_ssdlite_mobiledet_dsp_320x320_coco_20200519_tflite,TVM-OD-5120-ssdLite-mobDet-DSP-coco-320x320
23,od-8020,onnxrt,detection,512x512,ssd_mobilenetv2_lite_512x512_20201214_model.onnx,accuracy_ap[.5:.95]%,18.838029,25.1,1,1021.852169,0.0,od-8020_onnxrt_coco_edgeai-mmdet_ssd_mobilenetv2_lite_512x512_20201214_model_onnx,ONR-OD-8020-ssd-lite-mobv2-mmdet-coco-512x512
24,od-8040,onnxrt,detection,320x320,ssd_regnetx-200mf_fpn_bgr_lite_320x320_20201010_model.onnx,accuracy_ap[.5:.95]%,16.850796,20.7,1,475.933901,0.0,od-8040_onnxrt_coco_edgeai-mmdet_ssd_regnetx-200mf_fpn_bgr_lite_320x320_20201010_model_onnx,ONR-OD-8040-ssd-lite-regNetX-200mf-fpn-bgr-mmdet-coco-320x320
25,od-8200,onnxrt,detection,416,yolox_nano_lite_416x416_20220214_model.onnx,accuracy_ap[.5:.95]%,18.961569,24.8,1,1918.463917,0.0,od-8200_onnxrt_coco_edgeai-mmdet_yolox_nano_lite_416x416_20220214_model_onnx,ONR-OD-8200-yolox-nano-lite-mmdet-coco-416x416
26,od-8210,onnxrt,detection,416,yolox_tiny_lite_416x416_20220217_model.onnx,accuracy_ap[.5:.95]%,23.98704,30.5,1,3340.131898,0.0,od-8210_onnxrt_coco_edgeai-mmdet_yolox_tiny_lite_416x416_20220217_model_onnx,ONR-OD-8210-yolox-tiny-lite-mmdet-coco-416x416
27,od-8220,onnxrt,detection,640,yolox_s_lite_640x640_20220221_model.onnx,accuracy_ap[.5:.95]%,32.25763,38.3,1,20974.782249,0.0,od-8220_onnxrt_coco_edgeai-mmdet_yolox_s_lite_640x640_20220221_model_onnx,ONR-OD-8220-yolox-s-lite-mmdet-coco-640x640
28,od-8420,onnxrt,detection,640,yolox_s_lite_640x640_20220307_model.onnx,accuracy_ap[.5:.95]%,28.248655,31.62,1,21315.898822,0.0,od-8420_onnxrt_widerface_edgeai-mmdet_yolox_s_lite_640x640_20220307_model_onnx,ONR-OD-8420-yolox-s-lite-mmdet-widerface-640x640
29,ss-2580,tflitert,segmentation,512x512,deeplabv3_mnv2_ade20k32_float.tflite,accuracy_mean_iou%,34.616947,54.8,1,1506.054376,18446744073709.55,ss-2580_tflitert_ade20k32_mlperf_deeplabv3_mnv2_ade20k32_float_tflite,TFL-SS-2580-deeplabv3_mobv2-ade20k32-mlperf-512x512
30,ss-5710,tvmdlr,segmentation,512x512,deeplabv3plus_mobilenetv2_edgeailite_512x512_20210405.onnx,accuracy_mean_iou%,55.533137,57.77,1,2635.562954,0.0,ss-5710_tvmdlr_cocoseg21_edgeai-tv_deeplabv3plus_mobilenetv2_edgeailite_512x512_20210405_onnx,TVM-SS-5710-deeplabv3lite-mobv2-cocoseg21-512x512
31,ss-8610,onnxrt,segmentation,512x512,deeplabv3plus_mobilenetv2_edgeailite_512x512_20210308_outby4.onnx,accuracy_mean_iou%,51.427313,51.08,1,1672.203533,0.0,ss-8610_onnxrt_ade20k32_edgeai-tv_deeplabv3plus_mobilenetv2_edgeailite_512x512_20210308_outby4_onnx,ONR-SS-8610-deeplabv3lite-mobv2-ade20k32-512x512
32,ss-8630,onnxrt,segmentation,512x512,unet_aspp_mobilenetv2_edgeailite_512x512_20210306_outby2.onnx,accuracy_mean_iou%,49.340118,50.07,1,1534.575164,0.0,ss-8630_onnxrt_ade20k32_edgeai-tv_unet_aspp_mobilenetv2_edgeailite_512x512_20210306_outby2_onnx,ONR-SS-8630-unetlite-aspp-mobv2-tv-ade20k32-512x512
33,ss-8710,onnxrt,segmentation,512x512,deeplabv3plus_mobilenetv2_edgeailite_512x512_20210405.onnx,accuracy_mean_iou%,55.46769,57.77,1,1391.325606,0.0,ss-8710_onnxrt_cocoseg21_edgeai-tv_deeplabv3plus_mobilenetv2_edgeailite_512x512_20210405_onnx,ONR-SS-8710-deeplabv3lite-mobv2-cocoseg21-512x512
34,ss-8720,onnxrt,segmentation,512x512,fpn_aspp_regnetx800mf_edgeailite_512x512_20210405.onnx,accuracy_mean_iou%,60.616138,61.09,1,4009.369178,0.0,ss-8720_onnxrt_cocoseg21_edgeai-tv_fpn_aspp_regnetx800mf_edgeailite_512x512_20210405_onnx,ONR-SS-8720-deeplabv3lite-regnetx800mf-cocoseg21-512x512
